geography,sex,age_group,disability_type,global_severity,labour_force_status,value
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Total labour force,650.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employed,150.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Not in labour force,440.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Participation rate,30.2
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized participation rate,29.4
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employment Rate,23.8
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized employment rate,23.6
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Total labour force,440.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Not in labour force,320.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Participation rate,23.8
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Age standardized participation rate,23.9
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Severe,Not in labour force,100.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Total labour force,200.0
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Not in labour force,140.0
Newfoundland and Labrador,Males,15 to 24 years,Mobility,Very Severe,Total labour force,110.0
Newfoundland and Labrador,Males,15 to 24 years,Flexibility,Very Severe,Total labour force,90.0
Newfoundland and Labrador,Males,15 to 24 years,Dexterity,Very Severe,Total labour force,70.0
Newfoundland and Labrador,Males,15 to 24 years,Pain,Mild,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Mild,Total labour force,250.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Moderate,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Learning,Very Severe,Total labour force,170.0
Newfoundland and Labrador,Males,15 to 24 years,Memory,Very Severe,Total labour force,140.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Mild,Total labour force,50.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Severe,Total labour force,80.0
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Very Severe,Total labour force,160.0
Newfoundland and Labrador,Males,15 to 24 years,Mental and/or psychological,Very Severe,Total labour force,100.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Total labour force,1070.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employed,720.0
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Participation rate,96.2
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,96.7
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employment Rate,69.2
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,69.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Total labour force,1260.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employed,920.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Participation rate,82.9
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,83.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employment Rate,74.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,75.2
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Total labour force,550.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Participation rate,81.8
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,81.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Employment Rate,43.6
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,43.3
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Severe,Not in labour force,90.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Total labour force,530.0
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Not in labour force,340.0
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Total labour force,290.0
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Not in labour force,160.0
Newfoundland and Labrador,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,440.0
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Participation rate,95.2
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,95.3
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Employment Rate,90.5
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,90.8
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Participation rate,74.2
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Age standardized participation rate,74.4
Newfoundland and Labrador,Males,35 to 44 years,Pain,Very Severe,Total labour force,370.0
Newfoundland and Labrador,Males,35 to 44 years,Learning,Very Severe,Total labour force,340.0
Newfoundland and Labrador,Males,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,380.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Total labour force,2800.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employed,2030.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Participation rate,80.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,79.7
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employment Rate,78.1
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,77.9
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Total labour force,960.0
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Participation rate,87.5
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Age standardized participation rate,87.3
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Very Severe,Total labour force,910.0
Newfoundland and Labrador,Males,45 to 54 years,Mobility,Very Severe,Total labour force,860.0
Newfoundland and Labrador,Males,45 to 54 years,Flexibility,Very Severe,Total labour force,890.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Total labour force,1370.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Participation rate,86.6
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Age standardized participation rate,86.3
Newfoundland and Labrador,Males,45 to 54 years,Pain,Moderate,Total labour force,890.0
Newfoundland and Labrador,Males,45 to 54 years,Pain,Very Severe,Total labour force,860.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Total labour force,1960.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employed,1220.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Participation rate,78.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized participation rate,78.7
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employment Rate,62.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized employment rate,62.9
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Total labour force,1040.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Not in labour force,510.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Total labour force,1980.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Not in labour force,1320.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Total labour force,2830.0
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Not in labour force,1810.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Total labour force,1610.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Not in labour force,950.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Total labour force,2680.0
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Not in labour force,1710.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Moderate,Total labour force,700.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Total labour force,1080.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Not in labour force,1020.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Total labour force,2830.0
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Not in labour force,1810.0
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Total labour force,1790.0
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Not in labour force,1600.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Total labour force,710.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Participation rate,79.7
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Age standardized participation rate,80.9
Newfoundland and Labrador,Males,55 to 64 years,Pain,Moderate,Total labour force,700.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Total labour force,1720.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Not in labour force,1060.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Total labour force,2810.0
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Not in labour force,1790.0
Newfoundland and Labrador,Males,55 to 64 years,Mental and/or psychological,Very Severe,Total labour force,1490.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Total labour force,630.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employed,240.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Not in labour force,300.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Participation rate,50.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized participation rate,50.7
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employment Rate,38.7
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized employment rate,38.6
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Total labour force,250.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Not in labour force,170.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Total labour force,240.0
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Not in labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Dexterity,Very Severe,Not in labour force,50.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Total labour force,190.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Participation rate,36.8
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Age standardized participation rate,36.7
Newfoundland and Labrador,Females,15 to 24 years,Pain,Moderate,Total labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Total labour force,150.0
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Not in labour force,100.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Total labour force,120.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Not in labour force,60.0
Newfoundland and Labrador,Females,15 to 24 years,Learning,Very Severe,Total labour force,160.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Mild,Total labour force,180.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Total labour force,140.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Not in labour force,90.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Total labour force,160.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Not in labour force,90.0
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Very Severe,Not in labour force,60.0
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Total labour force,600.0
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Participation rate,58.6
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Age standardized participation rate,59.3
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Total labour force,1140.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Employed,730.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Not in labour force,340.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Participation rate,69.6
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Age standardized participation rate,69.5
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Employment Rate,65.2
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Age standardized employment rate,65.2
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Moderate,Participation rate,80.5
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Moderate,Age standardized participation rate,82.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Total labour force,730.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Participation rate,58.1
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Age standardized participation rate,58.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Employment Rate,56.5
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Age standardized employment rate,56.2
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Very Severe,Total labour force,1050.0
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Very Severe,Not in labour force,820.0
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Participation rate,69.8
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Age standardized participation rate,70.2
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Employment Rate,67.4
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Age standardized employment rate,68.8
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Very Severe,Total labour force,980.0
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Very Severe,Not in labour force,770.0
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Participation rate,100.0
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Age standardized participation rate,100.0
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Employment Rate,96.2
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Age standardized employment rate,98.7
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Severe,Participation rate,73.2
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Severe,Age standardized participation rate,71.4
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Very Severe,Total labour force,1030.0
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Very Severe,Not in labour force,810.0
Newfoundland and Labrador,Females,35 to 44 years,Dexterity,Very Severe,Total labour force,720.0
Newfoundland and Labrador,Females,35 to 44 years,Dexterity,Very Severe,Not in labour force,580.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Total labour force,740.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Employed,550.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Participation rate,80.8
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Age standardized participation rate,80.9
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Employment Rate,75.3
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Age standardized employment rate,75.9
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Total labour force,150.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Participation rate,73.3
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Age standardized participation rate,73.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Participation rate,65.5
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Age standardized participation rate,64.8
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Employment Rate,61.8
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Age standardized employment rate,62.8
Newfoundland and Labrador,Females,35 to 44 years,Pain,Very Severe,Total labour force,1000.0
Newfoundland and Labrador,Females,35 to 44 years,Pain,Very Severe,Not in labour force,770.0
Newfoundland and Labrador,Females,35 to 44 years,Learning,Very Severe,Total labour force,210.0
Newfoundland and Labrador,Females,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,780.0
Newfoundland and Labrador,Females,35 to 44 years,Mental and/or psychological,Very Severe,Not in labour force,570.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Total labour force,1720.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Employed,1510.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Participation rate,89.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Age standardized participation rate,89.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Employment Rate,87.8
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Age standardized employment rate,87.9
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Total labour force,1750.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Participation rate,72.3
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Age standardized participation rate,72.7
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Severe,Total labour force,1760.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Very Severe,Total labour force,1680.0
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Very Severe,Not in labour force,1000.0
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Severe,Total labour force,1470.0
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Very Severe,Total labour force,1660.0
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Very Severe,Not in labour force,980.0
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Severe,Total labour force,1380.0
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Very Severe,Total labour force,1680.0
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Very Severe,Not in labour force,1000.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Total labour force,1420.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Employed,1250.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Participation rate,89.4
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Age standardized participation rate,89.4
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Employment Rate,88.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Age standardized employment rate,88.1
Newfoundland and Labrador,Females,45 to 54 years,Pain,Severe,Total labour force,1480.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Very Severe,Total labour force,1680.0
Newfoundland and Labrador,Females,45 to 54 years,Pain,Very Severe,Not in labour force,1000.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Mild,Total labour force,1930.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Mild,Not in labour force,1310.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Moderate,Total labour force,1060.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Severe,Total labour force,1680.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Severe,Not in labour force,1590.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Very Severe,Total labour force,2550.0
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Very Severe,Not in labour force,2330.0
Newfoundland and Labrador,Females,55 to 64 years,Hearing,Very Severe,Total labour force,920.0
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Severe,Total labour force,1310.0
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Severe,Not in labour force,1220.0
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Very Severe,Total labour force,2520.0
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Very Severe,Not in labour force,2300.0
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Severe,Total labour force,1340.0
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Severe,Not in labour force,1250.0
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Very Severe,Total labour force,2520.0
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Very Severe,Not in labour force,2310.0
Newfoundland and Labrador,Females,55 to 64 years,Dexterity,Very Severe,Total labour force,1840.0
Newfoundland and Labrador,Females,55 to 64 years,Dexterity,Very Severe,Not in labour force,1760.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Mild,Total labour force,1320.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Moderate,Total labour force,840.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Severe,Total labour force,1620.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Severe,Not in labour force,1530.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Very Severe,Total labour force,2520.0
Newfoundland and Labrador,Females,55 to 64 years,Pain,Very Severe,Not in labour force,2310.0
Prince Edward Island,Males,15 to 24 years,All disability types,Mild,Total labour force,210.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Total labour force,200.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Employed,100.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Participation rate,55.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,56.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Employment Rate,50.0
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,48.8
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Total labour force,450.0
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Employed,410.0
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Participation rate,97.7
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,96.1
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Employment Rate,95.3
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,93.8
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Participation rate,100.0
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,100.0
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Employment Rate,100.0
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,100.0
Prince Edward Island,Males,35 to 44 years,All disability types,Severe,Total labour force,60.0
Prince Edward Island,Males,35 to 44 years,All disability types,Very Severe,Total labour force,80.0
Prince Edward Island,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,80.0
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Total labour force,370.0
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Employed,350.0
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Participation rate,100.0
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,98.5
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Employment Rate,100.0
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,98.5
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Total labour force,580.0
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Employed,550.0
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Participation rate,98.2
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,97.9
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Employment Rate,96.5
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,96.2
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Total labour force,260.0
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Employed,160.0
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Participation rate,73.1
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Age standardized participation rate,75.0
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Employment Rate,61.5
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Age standardized employment rate,62.2
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Total labour force,290.0
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Participation rate,50.0
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Age standardized participation rate,50.2
Prince Edward Island,Males,45 to 54 years,All disability types,Very Severe,Total labour force,350.0
Prince Edward Island,Males,45 to 54 years,Mobility,Severe,Total labour force,170.0
Prince Edward Island,Males,45 to 54 years,Mobility,Very Severe,Total labour force,230.0
Prince Edward Island,Males,45 to 54 years,Flexibility,Severe,Total labour force,180.0
Prince Edward Island,Males,45 to 54 years,Flexibility,Very Severe,Total labour force,260.0
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Participation rate,97.1
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Age standardized participation rate,96.4
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Employment Rate,97.1
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Age standardized employment rate,96.4
Prince Edward Island,Males,45 to 54 years,Pain,Moderate,Total labour force,180.0
Prince Edward Island,Males,45 to 54 years,Pain,Moderate,Participation rate,83.3
Prince Edward Island,Males,45 to 54 years,Pain,Moderate,Age standardized participation rate,82.5
Prince Edward Island,Males,45 to 54 years,Pain,Severe,Total labour force,210.0
Prince Edward Island,Males,45 to 54 years,Pain,Very Severe,Total labour force,350.0
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Total labour force,750.0
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Employed,470.0
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Participation rate,89.0
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Age standardized participation rate,89.5
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Employment Rate,64.4
Prince Edward Island,Males,55 to 64 years,All disability types,Mild,Age standardized employment rate,64.7
Prince Edward Island,Males,55 to 64 years,All disability types,Moderate,Total labour force,530.0
Prince Edward Island,Males,55 to 64 years,All disability types,Moderate,Participation rate,76.9
Prince Edward Island,Males,55 to 64 years,All disability types,Moderate,Age standardized participation rate,77.7
Prince Edward Island,Males,55 to 64 years,All disability types,Moderate,Employment Rate,63.5
Prince Edward Island,Males,55 to 64 years,All disability types,Moderate,Age standardized employment rate,64.0
Prince Edward Island,Males,55 to 64 years,All disability types,Severe,Total labour force,300.0
Prince Edward Island,Males,55 to 64 years,All disability types,Severe,Not in labour force,140.0
Prince Edward Island,Males,55 to 64 years,All disability types,Severe,Participation rate,50.0
Prince Edward Island,Males,55 to 64 years,All disability types,Severe,Age standardized participation rate,51.5
Prince Edward Island,Males,55 to 64 years,All disability types,Very Severe,Total labour force,520.0
Prince Edward Island,Males,55 to 64 years,Hearing,Mild,Participation rate,91.3
Prince Edward Island,Males,55 to 64 years,Hearing,Mild,Age standardized participation rate,90.6
Prince Edward Island,Males,55 to 64 years,Mobility,Severe,Total labour force,210.0
Prince Edward Island,Males,55 to 64 years,Mobility,Severe,Participation rate,50.0
Prince Edward Island,Males,55 to 64 years,Mobility,Severe,Age standardized participation rate,50.1
Prince Edward Island,Males,55 to 64 years,Mobility,Very Severe,Total labour force,440.0
Prince Edward Island,Males,55 to 64 years,Flexibility,Moderate,Participation rate,84.8
Prince Edward Island,Males,55 to 64 years,Flexibility,Moderate,Age standardized participation rate,83.7
Prince Edward Island,Males,55 to 64 years,Flexibility,Moderate,Employment Rate,78.8
Prince Edward Island,Males,55 to 64 years,Flexibility,Moderate,Age standardized employment rate,77.8
Prince Edward Island,Males,55 to 64 years,Flexibility,Severe,Total labour force,260.0
Prince Edward Island,Males,55 to 64 years,Flexibility,Severe,Not in labour force,140.0
Prince Edward Island,Males,55 to 64 years,Flexibility,Severe,Participation rate,46.2
Prince Edward Island,Males,55 to 64 years,Flexibility,Severe,Age standardized participation rate,46.2
Prince Edward Island,Males,55 to 64 years,Flexibility,Very Severe,Total labour force,510.0
